Experiment: SpeedGrowth_Control,Analysis: Analysis 1,User: Integral2,Plate: AZ_01,Plate Type: 384 Well,Plate Order: Row
Well ID,Well Type,Gt4 as % of cells,,,
L10,Sample,0.275862069,,,
L11,Sample,0.358765845,,,
L12,Sample,5.802047782,,,
L13,Sample,1.573275862,,,
L14,Sample,1.648603267,,,
L15,Sample,2.610611968,,,
L16,Sample,1.787252369,,,
L17,Sample,3.534407394,,,
L18,Sample,2.502274795,,,
L19,Sample,2.187072837,,,
L20,Sample,2.389078498,,,
L21,Sample,0.776531493,,,
L22,Sample,1.528273051,,,
L23,Sample,1.548744702,,,
L24,Sample,1.599040576,,,
M01,Sample,0.076365025,,,
M03,Sample,0.361850607,,,
M05,Sample,0.170473917,,,
M07,Sample,1.084773001,,,
M09,Sample,0.954502068,,,
M11,Sample,2.180359323,,,
M13,Sample,1.425,,,
M15,Sample,3.968253968,,,
M17,Sample,2.526547052,,,
M19,Sample,1.119611868,,,
M21,Sample,1.081454211,,,
M23,Sample,0.775387694,,,
N01,Sample,0.52855925,,,
N02,Sample,0.206224222,,,
N03,Sample,0.412979351,,,
N04,Sample,0.600176523,,,
N05,Sample,0.17440593,,,
N06,Sample,0.0433213,,,
N07,Sample,0.66305003,,,
N08,Sample,0.679728109,,,
N09,Sample,0.43554007,,,
N10,Sample,0.743208611,,,
N11,Sample,1.164686699,,,
N12,Sample,2.580845771,,,
N13,Sample,2.57625111,,,
N14,Sample,1.328588375,,,
N15,Sample,2.176578786,,,
N16,Sample,1.76056338,,,
N17,Sample,1.868937781,,,
N18,Sample,2.138157895,,,
N19,Sample,1.429836771,,,
N20,Sample,2.276043186,,,
N21,Sample,0.486830608,,,
N22,Sample,1.735895846,,,
N23,Sample,0.773349197,,,
N24,Sample,0.884654644,,,
O01,Sample,1.097178683,,,
O03,Sample,0.627240143,,,
O05,Sample,1.716888577,,,
O07,Sample,0.970120295,,,
O09,Sample,1.292929293,,,
O11,Sample,0.708215297,,,
O13,Sample,1.260504202,,,
O15,Sample,2.882266732,,,
O17,Sample,2.027027027,,,
O19,Sample,1.314060447,,,
O21,Sample,0.798056905,,,
O23,Sample,0.657094183,,,
P01,Sample,0.168665667,,,
P02,Sample,0.87150838,,,
P03,Sample,0.276752768,,,
P04,Sample,0.41519618,,,
P05,Sample,0.17452007,,,
P06,Sample,0.149855908,,,
P07,Sample,0.805496328,,,
P08,Sample,0.611620795,,,
P09,Sample,0.785901405,,,
P10,Sample,1.094357977,,,
P11,Sample,0.658189978,,,
P12,Sample,0.780834073,,,
P13,Sample,0.844505437,,,
P14,Sample,0.231481481,,,
P15,Sample,0.697435897,,,
P16,Sample,1.061678463,,,
P17,Sample,1.123229692,,,
P18,Sample,1.22591944,,,
P19,Sample,0.631374454,,,
P20,Sample,1.168511685,,,
P21,Sample,0.619058147,,,
P22,Positive,4.79704797,,,
P23,Sample,0.346514472,,,
P24,Positive,13.42918324,,,
